cliente_id,edad,pais,fecha_registro
1,68.0,Perú,2022-04-11
2,57.0,Chile,2023-11-30
3,24.0,México,2022-11-21
4,49.0,Argentina,2023-08-05
5,65.0,,2022-07-08
6,36.0,Argentina,2023-12-26
7,,Colombia,2021-04-19
8,37.0,Chile,2021-04-02
9,44.0,Perú,2023-09-30
10,60.0,Perú,2022-01-03
11,,México,2023-03-31
12,65.0,México,2022-02-27
13,24.0,México,2022-07-26
14,22.0,Argentina,2023-05-12
15,28.0,Chile,2022-03-11
16,32.0,Argentina,2021-07-31
17,20.0,Chile,2022-06-10
18,22.0,Perú,2022-04-13
19,40.0,Argentina,2024-04-08
20,54.0,Argentina,2023-03-03
21,26.0,Argentina,2023-05-25
22,32.0,Colombia,2021-07-29
23,20.0,Chile,2021-09-13
24,46.0,Chile,2021-03-14
25,23.0,Argentina,2021-05-27
26,34.0,Colombia,2021-11-13
27,43.0,Argentina,2022-08-29
28,38.0,,2022-07-29
29,25.0,Perú,2024-03-23
30,,Colombia,2022-07-01
31,28.0,Colombia,2023-04-15
32,55.0,Argentina,2021-11-08
33,,Perú,2023-03-19
34,59.0,Chile,2023-02-04
35,41.0,México,2021-05-14
36,52.0,Chile,2023-08-06
37,31.0,Chile,2024-02-27
38,,Perú,2022-03-12
39,27.0,Colombia,2021-12-24
40,29.0,Chile,2023-07-19
41,55.0,Colombia,2023-06-02
42,61.0,Perú,2021-09-09
43,,,2021-05-15
44,51.0,Argentina,2022-06-07
45,58.0,México,2023-03-15
46,27.0,Perú,2022-10-22
47,34.0,Perú,2021-11-15
48,34.0,Colombia,2021-03-21
49,20.0,Perú,2023-11-20
50,48.0,Chile,2022-02-18
51,68.0,Argentina,2022-01-03
52,18.0,Argentina,2023-10-04
53,29.0,Chile,2023-09-20
54,56.0,Perú,2022-08-19
55,21.0,México,2023-10-15
56,59.0,Perú,2022-12-02
57,,Argentina,2023-11-11
58,51.0,México,2022-07-03
59,,Colombia,2021-09-03
60,38.0,Colombia,2021-10-10
61,39.0,Perú,2022-09-06
62,21.0,Perú,2023-07-20
63,35.0,México,2023-03-17
64,22.0,México,2021-08-20
65,36.0,,2021-11-12
66,19.0,Argentina,2023-04-18
67,29.0,Colombia,2022-02-15
68,34.0,México,2021-09-02
69,,Argentina,2022-01-22
70,51.0,Perú,2022-11-20
71,23.0,Chile,2021-12-24
72,25.0,México,2023-10-19
73,,Chile,2022-09-06
74,28.0,Argentina,2023-03-09
75,29.0,,2021-01-22
76,26.0,Argentina,2021-01-19
77,19.0,Colombia,2021-10-03
78,,Argentina,2022-10-21
79,28.0,México,2023-06-17
80,53.0,México,2022-07-06
81,27.0,Chile,2022-11-10
82,38.0,Argentina,2022-08-26
83,37.0,Argentina,2024-01-01
84,,Chile,2021-12-31
85,25.0,,2023-03-06
86,53.0,Argentina,2022-10-14
87,46.0,Argentina,2022-08-13
88,59.0,Argentina,2021-07-18
89,29.0,Perú,2021-01-17
90,31.0,México,2021-08-06
91,65.0,Chile,2023-01-11
92,67.0,Perú,2022-10-12
93,38.0,Colombia,2021-05-27
94,39.0,Colombia,2022-11-01
95,38.0,Perú,2022-10-27
96,61.0,Perú,2023-05-06
97,67.0,México,2021-11-26
98,47.0,Colombia,2023-06-14
