cliente_id,tipo_suscripcion,pago_mensual,estado_suscripcion
3492,Básica,6.32,Activa
4651,Pro,64.03,Activa
1475,Pro,66.99,Cancelada
1484,Premium,20.02,Cancelada
4220,Básica,45.95,Cancelada
4608,,96.61,Activa
2513,Básica,89.0,Activa
4694,Pro,44.03,Cancelada
3410,Básica,38.24,Cancelada
41,,16.79,Activa
769,Básica,8.34,Cancelada
290,Pro,33.26,Activa
2990,Premium,94.33,Activa
1857,Pro,96.07,Activa
490,Básica,82.19,Activa
720,Pro,38.33,Cancelada
2436,Básica,18.64,Cancelada
458,Premium,61.58,Cancelada
61,Pro,66.42,Cancelada
427,Premium,45.33,Activa
1855,Pro,70.71,Cancelada
3418,Pro,75.93,Cancelada
97,Premium,79.39,Activa
1900,Premium,52.72,Activa
1327,,80.21,Cancelada
2294,Pro,7.42,Activa
2212,Pro,69.64,Activa
2556,Premium,27.39,Activa
4187,Básica,30.7,Activa
65,,13.67,Activa
4094,Pro,23.28,Activa
3059,Pro,99.24,Activa
3040,Premium,44.46,Activa
4146,,93.14,Cancelada
3073,Pro,20.48,Cancelada
2065,Pro,24.39,Activa
657,Pro,57.99,Cancelada
3844,Pro,38.21,Activa
2937,Básica,66.17,Activa
3639,Premium,45.09,Cancelada
929,,82.1,Cancelada
4218,Premium,46.0,Activa
3402,Básica,59.37,Activa
2067,Básica,35.5,Activa
1750,Premium,71.88,Activa
3361,,67.2,Cancelada
57,Premium,42.72,Cancelada
3266,Pro,31.22,Cancelada
2742,Básica,63.34,Cancelada
4942,Básica,94.6,Activa
2,Pro,17.6,Cancelada
612,Básica,80.92,Cancelada
2883,Premium,56.58,Cancelada
4917,Básica,54.93,Activa
995,Pro,96.36,Activa
150,,62.56,Activa
2776,Básica,83.9,Activa
3674,Premium,53.88,Activa
4112,Básica,28.74,Cancelada
2803,Premium,70.98,Cancelada
71,Pro,,Cancelada
203,Pro,84.92,Cancelada
2532,Básica,23.84,Activa
1998,Básica,35.1,Activa
4577,Premium,54.1,Activa
1615,Pro,59.3,Activa
3225,Premium,23.41,Cancelada
442,Pro,,Activa
3809,Premium,,Cancelada
1482,Premium,74.38,Activa
3221,Premium,84.72,Cancelada
4697,Básica,93.63,Activa
1793,Pro,34.28,Cancelada
2575,Básica,86.66,Cancelada
4311,Básica,68.27,Cancelada
4576,Premium,95.99,Activa
2683,Pro,,Activa
417,Básica,30.62,Activa
83,Premium,71.91,Cancelada
522,Pro,93.2,Cancelada
481,Pro,83.33,Cancelada
2142,Básica,74.07,Cancelada
1816,Premium,41.79,
3494,Básica,73.19,Cancelada
4849,Pro,81.1,Activa
4105,Básica,,Cancelada
4905,Premium,69.3,Activa
1299,Pro,9.48,Cancelada
4069,,67.67,Cancelada
1937,Premium,50.44,Activa
2639,Pro,96.35,Activa
1888,Premium,62.68,Cancelada
2242,Premium,62.78,Cancelada
3877,,99.44,Cancelada
1447,Pro,13.89,Activa
4347,Premium,31.25,Activa
3477,Básica,67.33,Activa
2400,Básica,34.95,Activa
130,Premium,37.88,Activa
735,Básica,89.8,Cancelada
2723,Básica,60.04,
3028,Pro,14.77,Activa
3390,Premium,34.53,Cancelada
4802,,12.23,Activa
2911,Premium,57.83,Activa
4639,Básica,21.46,Activa
1755,Pro,86.43,
4616,Pro,59.84,Activa
1544,,10.64,Cancelada
3612,Básica,33.58,Cancelada
2485,Premium,63.55,Cancelada
3141,Premium,36.87,Cancelada
1733,Básica,53.75,Activa
4840,Básica,91.39,Cancelada
1323,Pro,38.25,Cancelada
1530,Pro,36.91,Activa
3903,Premium,82.88,Cancelada
280,Pro,35.28,Cancelada
1290,Básica,12.41,Cancelada
3901,Básica,22.19,Cancelada
1877,Básica,95.14,Activa
4685,Básica,93.66,Activa
1858,Premium,,Cancelada
2061,Básica,57.58,Activa
3898,,18.05,Cancelada
2440,Básica,69.09,Cancelada
4774,Básica,22.6,Cancelada
116,Premium,9.73,Activa
1854,Premium,83.37,Activa
4396,Pro,35.91,Cancelada
1435,Premium,15.31,Activa
4023,Premium,84.22,Activa
2503,Premium,77.43,Activa
488,Pro,69.96,Activa
2594,Básica,91.57,Cancelada
4450,Pro,51.48,Cancelada
2244,Básica,17.17,Cancelada
276,Premium,10.83,Cancelada
2952,Básica,35.25,Cancelada
248,Pro,13.25,Activa
1022,Básica,55.87,Activa
3336,Básica,6.38,Cancelada
4057,Premium,47.16,Cancelada
4670,Básica,21.95,Cancelada
4795,Básica,39.99,Cancelada
3139,Premium,69.13,Activa
349,Pro,38.34,Activa
306,Premium,37.43,Cancelada
4770,Básica,99.12,Cancelada
1403,Premium,73.29,Activa
1510,Premium,53.82,Cancelada
2782,Básica,60.04,Cancelada
3298,Pro,63.92,Cancelada
3455,Premium,7.33,
2599,Pro,12.63,Activa
3214,Premium,66.67,Cancelada
3177,Básica,39.62,Activa
2713,Básica,,Activa
4821,Premium,33.26,Cancelada
1195,,17.38,Cancelada
1042,Premium,92.05,Cancelada
262,Básica,24.28,Cancelada
4599,Premium,18.65,Activa
4292,Básica,64.49,Cancelada
2001,Premium,54.58,Cancelada
4493,Básica,59.71,Activa
4554,Premium,46.42,Cancelada
4661,,49.38,Cancelada
1643,Pro,78.99,Activa
3379,Básica,25.89,Cancelada
3417,Premium,42.67,Activa
4909,Pro,95.99,Cancelada
326,Premium,23.05,Activa
2747,Premium,32.91,
1789,Premium,23.2,Cancelada
4875,Pro,6.95,Activa
4144,Básica,30.63,
3271,Pro,9.41,Cancelada
1286,Básica,19.7,Cancelada
4719,Pro,39.45,Cancelada
2748,Premium,,Cancelada
3434,Premium,76.53,Cancelada
66,Premium,80.58,Cancelada
286,Pro,44.08,Cancelada
2157,Pro,98.54,Activa
2336,Básica,69.5,Cancelada
4824,Pro,75.65,Activa
2737,Básica,23.27,Activa
2658,Pro,84.56,Activa
2486,Premium,94.78,Activa
3872,Pro,27.45,Cancelada
1663,Premium,70.21,Cancelada
397,Pro,75.96,Activa
3301,Básica,33.99,Activa
848,,50.13,Activa
1399,Premium,14.27,Cancelada
4984,Pro,21.44,Cancelada
4717,Básica,10.85,Cancelada
3216,Básica,58.22,Cancelada
2609,Básica,64.4,
3680,Básica,92.03,Activa
1411,Pro,56.51,Cancelada
2910,,29.76,Activa
